文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
[Macaw的屋顶] mcw-roofs-2.3.2-mc26.1fabric.jar,Macaw的屋顶 (Macaw's Roofs),2.3.2,2026/03/27 上午 4:38:40,mcwroofs,B8jaH3P1,1925079,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw的屋顶] mcw-roofs-2.3.2-mc26.1fabric.jar
[Macaw的桥梁] mcw-bridges-3.1.2-mc26.1fabric.jar,Macaw的桥梁 (Macaw's Bridges),3.1.2,2026/03/25 下午 4:26:43,mcwbridges,GURcjz8O,719848,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw的桥梁] mcw-bridges-3.1.2-mc26.1fabric.jar
[Macaw的楼梯与露台] mcw-stairs-1.0.2-mc26.1fabric.jar,Macaw的楼梯与露台 (Macaw's Stairs),1.0.2,2026/03/25 下午 6:48:06,mcwstairs,iP3wH1ha,568238,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw的楼梯与露台] mcw-stairs-1.0.2-mc26.1fabric.jar
[Macaw的家具] mcw-furniture-3.4.2-mc26.1fabric.jar,Macaw的家具 (Macaw's Furniture),3.4.2,2026/04/14 下午 6:34:25,mcwfurnitures,dtWC90iB,2386998,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw的家具] mcw-furniture-3.4.2-mc26.1fabric.jar
[Macaw的画] mcw-paintings-1.1.0-mc26.1fabric.jar,Macaw的画 (Macaw's Paintings),1.1.0,2026/03/30 下午 7:08:03,mcwpaintings,okE6QVAY,186774,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw的画] mcw-paintings-1.1.0-mc26.1fabric.jar
[Macaw的灯] mcw-lights-1.1.5-mc26.1fabric.jar,Macaw的灯 (Macaw's Lights and Lamps),1.1.5,2026/03/27 上午 12:47:12,mcwlights,w4an97C2,545996,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw的灯] mcw-lights-1.1.5-mc26.1fabric.jar
[Macaw 的小径和路面] mcw-paths-1.1.1-mc26.1fabric.jar,Macaw 的小径和路面 (Macaw's Paths and Pavings),1.1.1,2026/03/27 上午 1:42:42,mcwpaths,VRLhWB91,815167,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw 的小径和路面] mcw-paths-1.1.1-mc26.1fabric.jar
[Macaw 的门] mcw-doors-1.1.5-mc26.1fabric.jar,Macaw 的门 (Macaw's Doors),1.1.5,2026/03/27 上午 2:07:47,mcwdoors,kNxa8z3e,1448384,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw 的门] mcw-doors-1.1.5-mc26.1fabric.jar
[Macaw 的活板门] mcw-trapdoors-1.1.5-mc26.1fabric.jar,Macaw 的活板门 (Macaw's Trapdoors),1.1.5,2026/03/25 下午 6:33:58,mcwtrpdoors,n2fvCDlM,641239,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw 的活板门] mcw-trapdoors-1.1.5-mc26.1fabric.jar
[Macaw 的窗户] mcw-windows-2.4.2-mc26.1fabric.jar,Macaw 的窗户 (Macaw's Windows),2.4.2,2026/03/27 上午 4:38:59,mcwwindows,C7I0BCni,1402299,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Macaw 的窗户] mcw-windows-2.4.2-mc26.1fabric.jar
